code,20-07-14_close,20-07-14_volume
8411,135.4,79012600.0
8306,424.5,52289600.0
2370,120.0,51355100.0
1357,775.0,42564039.0
9318,9.0,42089500.0
4591,660.0,41982300.0
9424,199.0,35228800.0
7647,28.0,32099000.0
6093,333.0,28243700.0
9984,6443.0,28066300.0
4689,519.0,20586900.0
4599,1040.0,16221700.0
1699,104.0,14950410.0
7201,390.3,14683700.0
3536,114.0,13665100.0
2134,74.0,12845700.0
1757,116.0,12692300.0
8604,498.1,12105700.0
7610,129.0,10843400.0
2038,255.0,10405492.0
8894,42.0,10356200.0
6835,103.0,9346700.0
4005,333.0,9319000.0
4755,976.0,8920500.0
3911,1030.0,8452200.0
8591,1299.5,8452100.0
8918,10.0,8363900.0
8308,375.5,8293100.0
8801,1859.5,7905900.0
5020,383.0,7571500.0
9501,312.0,7460200.0
4829,308.0,7381100.0
9434,1415.0,7271500.0
8002,493.6,6955000.0
6723,613.0,6690900.0
1605,622.4,6530300.0
6758,7940.0,6387700.0
4563,1628.0,6329900.0
7211,272.0,6175300.0
7751,2153.0,6163700.0
2586,497.0,5782800.0
1570,19490.0,5774548.0
6731,61.0,5768200.0
4347,121.0,5704900.0
7261,672.0,5554200.0
6752,994.4,5452600.0
2768,238.0,5447200.0
9432,2572.0,5257700.0
2315,35.0,5194500.0
8316,3077.0,5119200.0
9973,67.0,5094100.0
4902,374.0,5016600.0
7453,1351.0,4992400.0
9399,121.0,4653789.0
7186,343.0,4543900.0
3940,435.0,4470300.0
7707,1495.0,4441500.0
8802,1575.0,4436400.0
4188,632.5,4431000.0
4564,133.0,4425200.0
8601,472.5,4287900.0
6178,781.2,4261000.0
3289,444.0,4205500.0
8058,2260.5,4183600.0
4502,3700.0,4178400.0
7157,1172.0,4164000.0
7203,6744.0,4133600.0
3436,1623.0,4041900.0
8515,220.0,3983000.0
2914,1951.5,3922300.0
5401,1016.5,3815000.0
5337,119.0,3803000.0
7182,837.0,3764400.0
8750,1343.0,3718400.0
8016,315.0,3712000.0
6472,210.0,3698800.0
8028,2316.0,3681700.0
9437,2983.0,3526200.0
1689,2.0,3494500.0
6503,1378.0,3485400.0
6255,378.0,3476700.0
6113,795.0,3447900.0
1671,848.0,3387610.0
8848,183.0,3336400.0
3407,841.8,3296900.0
8031,1601.5,3291100.0
9433,3305.0,3260500.0
4503,1725.0,3254500.0
3528,36.0,3236100.0
8001,2371.0,3220400.0
6098,3629.0,3192900.0
6506,3930.0,3182700.0
3402,501.6,3136800.0
6628,10.0,3135200.0
8053,1254.5,3090300.0
9503,1061.5,3076200.0
3765,2024.0,3014400.0
3086,663.0,2935200.0
2503,2120.0,2867500.0
9201,1934.0,2853900.0
5406,375.0,2836500.0
5411,782.0,2832800.0
1803,834.0,2831500.0
6857,6820.0,2815000.0
7267,2758.5,2810000.0
3099,592.0,2764400.0
1360,1882.0,2763730.0
3659,2548.0,2755500.0
6501,3403.0,2738200.0
7270,2220.0,2722700.0
9613,1226.0,2700300.0
8410,285.0,2685600.0
3323,129.0,2650700.0
8795,959.0,2638300.0
3197,1566.0,2604000.0
7779,477.0,2513000.0
1491,20.0,2499900.0
3667,839.0,2491400.0
8233,803.0,2470700.0
6301,2217.0,2436000.0
9502,1365.0,2418400.0
2413,4860.0,2377400.0
7731,897.0,2336000.0
7733,2018.0,2320700.0
5802,1281.5,2316100.0
7752,800.0,2310200.0
1925,2492.5,2291700.0
3861,483.0,2282800.0
4571,433.0,2277900.0
7202,972.5,2269300.0
6770,1407.0,2268500.0
8256,258.0,2265300.0
8570,892.0,2259800.0
4712,140.0,2256800.0
1802,1003.0,2213100.0
6920,11340.0,2205600.0
8783,225.0,2184400.0
8789,46.0,2160000.0
8331,522.0,2066800.0
9831,504.0,2064900.0
9202,2422.0,2064700.0
4666,1722.0,2053800.0
6298,731.0,2049300.0
6993,32.0,2041000.0
6724,1249.0,2037500.0
4519,5294.0,2032400.0
6740,46.0,2026900.0
8593,483.0,2019100.0
8358,376.0,2013600.0
6594,7255.0,1996900.0
6701,5650.0,1995500.0
6976,3430.0,1977800.0
7532,2394.0,1957100.0
3387,576.0,1955900.0
3382,3455.0,1942600.0
7205,722.0,1886500.0
8113,4672.0,1882800.0
4597,216.0,1859400.0
5713,3246.0,1858400.0
3064,4430.0,1856000.0
1928,2091.5,1826100.0
7167,252.0,1820600.0
4477,5660.0,1793500.0
4385,4065.0,1792200.0
7272,1699.0,1778400.0
6754,2489.0,1761200.0
6326,1588.5,1753200.0
4901,4707.0,1752500.0
6967,1700.0,1741300.0
8473,2198.0,1735900.0
7013,1564.0,1726900.0
2427,620.0,1691300.0
8585,109.0,1679200.0
6981,6564.0,1659000.0
6291,1269.0,1658500.0
5803,318.0,1654900.0
7599,503.0,1644600.0
2337,253.0,1642000.0
3092,2612.0,1615500.0
9064,2712.0,1588800.0
7859,203.0,1573700.0
6619,685.0,1572200.0
5703,188.0,1546300.0
8830,2748.5,1540300.0
4644,1196.0,1517500.0
2930,569.0,1513300.0
6952,1835.0,1507400.0
9425,377.0,1505800.0
2371,2756.0,1504500.0
9704,30.0,1486300.0
4978,431.0,1470100.0
7269,3795.0,1452100.0
9506,1013.0,1438500.0
2191,1327.0,1420100.0
8697,2538.0,1401100.0
9005,1376.0,1397900.0
8267,2443.0,1392900.0
5108,3464.0,1388000.0
2433,1202.0,1377800.0
8725,2909.5,1370100.0
8925,55.0,1369300.0
1419,1144.0,1369000.0
4293,205.0,1361800.0
8804,1177.0,1359900.0
4204,1550.0,1353800.0
4321,476.0,1337400.0
3694,3485.0,1323500.0
3038,6660.0,1314800.0
7351,2041.0,1314400.0
8698,219.0,1313500.0
4528,2959.0,1312700.0
3563,2358.0,1308700.0
