code,20-07-10_close,20-07-10_volume
8789,46.0,4670900.0
5406,353.0,4640000.0
8750,1278.5,4566800.0
7733,1978.0,4558000.0
5401,980.3,4549600.0
7267,2636.5,4549000.0
9432,2515.0,4509100.0
3436,1620.0,4492000.0
8802,1503.5,4374700.0
5411,750.0,4339000.0
2315,36.0,4208700.0
8001,2296.0,4110500.0
9831,492.0,4017200.0
8053,1205.0,4007900.0
5940,83.0,3947700.0
9603,1592.0,3921600.0
6803,132.0,3919800.0
3382,3304.0,3905700.0
3667,757.0,3886000.0
4188,607.3,3881700.0
8107,26.0,3860100.0
6503,1376.5,3782600.0
8058,2241.5,3735600.0
9437,2935.5,3702000.0
3099,574.0,3681800.0
1360,1931.0,3665390.0
6770,1313.0,3506800.0
3639,498.0,3499700.0
2413,4895.0,3438700.0
3407,823.6,3433000.0
7167,245.0,3432500.0
3765,1987.0,3430800.0
4543,3899.0,3405900.0
8473,2133.0,3394500.0
6857,6960.0,3352500.0
8795,901.0,3311200.0
7752,766.0,3282800.0
4712,132.0,3272500.0
6113,790.0,3216800.0
9704,33.0,3200100.0
8267,2386.5,3186800.0
3086,658.0,3102400.0
3563,2415.0,3067900.0
4499,5720.0,3039700.0
4519,5398.0,3028500.0
6501,3342.0,3000800.0
7182,803.0,2978200.0
8593,477.0,2957800.0
6628,11.0,2940200.0
7270,2129.5,2902800.0
4597,216.0,2892300.0
7272,1625.0,2877500.0
7013,1492.0,2827400.0
6301,2160.0,2743400.0
3861,465.0,2697700.0
4385,4030.0,2690900.0
6629,1010.0,2682000.0
7269,3652.0,2680500.0
9024,1135.0,2680400.0
5803,304.0,2620200.0
1332,449.0,2588200.0
6326,1518.0,2572100.0
6291,1151.0,2562500.0
7352,3150.0,2552100.0
9064,2679.0,2536300.0
8253,1071.0,2524300.0
2337,238.0,2476200.0
4766,195.0,2474000.0
7731,834.0,2449300.0
8925,54.0,2439500.0
8331,504.0,2426500.0
4564,127.0,2424300.0
6819,95.0,2405400.0
5108,3390.0,2398800.0
9503,1060.0,2384700.0
4571,435.0,2379600.0
7762,317.0,2373100.0
1925,2416.0,2349500.0
4666,1672.0,2348100.0
4901,4639.0,2344500.0
7205,687.0,2343600.0
4594,248.0,2337700.0
2471,661.0,2321400.0
6471,744.0,2320300.0
1802,977.0,2285800.0
6473,761.0,2282900.0
6754,2488.0,2280300.0
6976,3310.0,2279300.0
6506,4110.0,2279000.0
8830,2580.5,2227200.0
6920,11510.0,2210400.0
1689,2.0,2203400.0
2427,585.0,2201400.0
8355,682.0,2182700.0
1928,2022.5,2179600.0
8233,801.0,2173500.0
2134,71.0,2161400.0
3659,2593.0,2145900.0
8358,355.0,2112400.0
4583,300.0,2072000.0
8783,209.0,2056600.0
7202,915.4,2023400.0
9005,1382.0,2022200.0
2503,2086.5,2013700.0
5301,970.0,1987000.0
2502,3587.0,1979900.0
1803,836.0,1979400.0
6835,124.0,1968900.0
5802,1215.0,1957100.0
6479,1836.0,1953800.0
3387,601.0,1952400.0
3197,1605.0,1944300.0
2370,94.0,1861600.0
6724,1173.0,1851700.0
6993,30.0,1843400.0
9876,273.0,1842600.0
7532,2420.0,1839600.0
4324,2393.0,1814200.0
4321,480.0,1813000.0
5019,2248.0,1794400.0
8804,1132.0,1784000.0
3038,6520.0,1783300.0
9502,1334.5,1749000.0
